	 Lmin 		 M 	  MAX_CYCLE 	 X 	 temps

repetition 1
	 36702.000000;	 29;	 10;		 13;	 6.555000; 
	 41229.000000;	 29;	 10;		 14;	 6.548000; 
	 41499.000000;	 29;	 10;		 15;	 4.505000; 
	 40588.000000;	 29;	 10;		 16;	 4.577000; 
	 40152.000000;	 29;	 10;		 17;	 303.086000; 
	 43638.000000;	 29;	 10;		 18;	 6.061000; 
	 40956.000000;	 29;	 10;		 19;	 4.618000; 
	 38037.000000;	 29;	 10;		 20;	 4.346000; 
	 39453.000000;	 29;	 10;		 21;	 4.526000; 
	 42089.000000;	 29;	 10;		 22;	 3.947000; 
	 42845.000000;	 29;	 10;		 23;	 3.955000; 
	 40196.000000;	 29;	 10;		 24;	 4.062000; 
	 35882.000000;	 29;	 10;		 25;	 4.015000; 
	 41706.000000;	 29;	 10;		 26;	 4.120000; 
	 43837.000000;	 29;	 10;		 27;	 4.042000; 
	 41524.000000;	 29;	 10;		 28;	 3.940000; 
	 41184.000000;	 29;	 10;		 29;	 4.135000; 
	 33034.000000;	 30;	 10;		 2;	 4.339000; 
	 39880.000000;	 30;	 10;		 3;	 4.677000; 
	 37470.000000;	 30;	 10;		 4;	 4.289000; 
	 33428.000000;	 30;	 10;		 5;	 4.288000; 
	 40599.000000;	 30;	 10;		 6;	 4.549000; 
	 38617.000000;	 30;	 10;		 7;	 4.235000; 
	 36664.000000;	 30;	 10;		 8;	 4.269000; 
	 36813.000000;	 30;	 10;		 9;	 5.806000; 
	 37262.000000;	 30;	 10;		 10;	 7.177000; 
	 31303.000000;	 30;	 10;		 11;	 7.341000; 
	 26866.000000;	 30;	 10;		 12;	 7.233000; 
	 38753.000000;	 30;	 10;		 13;	 7.291000; 
	 40779.000000;	 30;	 10;		 14;	 7.594000; 
	 36331.000000;	 30;	 10;		 15;	 7.209000; 
	 37948.000000;	 30;	 10;		 16;	 6.931000; 
	 41347.000000;	 30;	 10;		 17;	 6.823000; 
	 38043.000000;	 30;	 10;		 18;	 6.899000; 
	 44027.000000;	 30;	 10;		 19;	 6.983000; 
	 39033.000000;	 30;	 10;		 20;	 7.252000; 
	 41912.000000;	 30;	 10;		 21;	 6.968000; 
	 41411.000000;	 30;	 10;		 22;	 6.995000; 
	 39640.000000;	 30;	 10;		 23;	 6.743000; 
	 40021.000000;	 30;	 10;		 24;	 6.876000; 
	 38351.000000;	 30;	 10;		 25;	 7.240000; 
	 43128.000000;	 30;	 10;		 26;	 7.064000; 
	 42530.000000;	 30;	 10;		 27;	 6.916000; 
	 41902.000000;	 30;	 10;		 28;	 6.915000; 
	 43599.000000;	 30;	 10;		 29;	 7.080000; 
	 39920.000000;	 30;	 10;		 30;	 7.080000; 
	 31192.000000;	 31;	 10;		 2;	 7.173000; 
	 37971.000000;	 31;	 10;		 3;	 7.227000; 
	 39068.000000;	 31;	 10;		 4;	 7.202000; 
	 34768.000000;	 31;	 10;		 5;	 7.140000; 
	 38213.000000;	 31;	 10;		 6;	 7.282000; 
	 39386.000000;	 31;	 10;		 7;	 7.294000; 
	 31778.000000;	 31;	 10;		 8;	 7.300000; 
	 38749.000000;	 31;	 10;		 9;	 7.152000; 
	 39428.000000;	 31;	 10;		 10;	 7.308000; 
	 41497.000000;	 31;	 10;		 11;	 7.141000; 
	 40866.000000;	 31;	 10;		 12;	 6.903000; 
	 35496.000000;	 31;	 10;		 13;	 7.003000; 
	 41428.000000;	 31;	 10;		 14;	 7.062000; 
	 36537.000000;	 31;	 10;		 15;	 7.069000; 
	 37800.000000;	 31;	 10;		 16;	 7.003000; 
	 38577.000000;	 31;	 10;		 17;	 6.744000; 
	 42305.000000;	 31;	 10;		 18;	 7.320000; 
	 38985.000000;	 31;	 10;		 19;	 7.268000; 
	 43268.000000;	 31;	 10;		 20;	 6.883000; 
	 41972.000000;	 31;	 10;		 21;	 6.925000; 
	 35545.000000;	 31;	 10;		 22;	 6.865000; 
	 39761.000000;	 31;	 10;		 23;	 6.961000; 
	 38962.000000;	 31;	 10;		 24;	 6.994000; 
	 34620.000000;	 31;	 10;		 25;	 6.961000; 
	 38541.000000;	 31;	 10;		 26;	 7.220000; 
	 41018.000000;	 31;	 10;		 27;	 7.016000; 
	 39391.000000;	 31;	 10;		 28;	 7.083000; 
	 43516.000000;	 31;	 10;		 29;	 6.964000; 
	 39368.000000;	 31;	 10;		 30;	 6.811000; 
	 41924.000000;	 31;	 10;		 31;	 6.947000; 
	 32127.000000;	 32;	 10;		 2;	 7.255000; 
	 35530.000000;	 32;	 10;		 3;	 7.753000; 
	 33965.000000;	 32;	 10;		 4;	 7.627000; 
	 36440.000000;	 32;	 10;		 5;	 7.577000; 
	 36382.000000;	 32;	 10;		 6;	 7.428000; 
	 41588.000000;	 32;	 10;		 7;	 7.811000; 
	 33737.000000;	 32;	 10;		 8;	 7.526000; 
	 35407.000000;	 32;	 10;		 9;	 7.403000; 
	 39628.000000;	 32;	 10;		 10;	 7.739000; 
